feature,importance
gold low,3132
gold high,2625
silver high-low,1674
gold volume,1557
platinum high-low,1504
silver volume,1167
silver high-low_roll_mean3,830
platinum volume_lag1,774
palladium high-low,747
silver volume_lag1,741
gold volume_lag1,739
sp500 volume_roll_mean3,734
gold volume_roll_mean3,734
platinum high-low_roll_mean3,710
platinum volume_lag5,667
silver high-low_lag2,644
platinum volume_lag2,640
platinum volume,638
platinum high-low_lag1,638
silver high-low_lag1,625
oil high-low,623
palladium volume,606
sp500 high-low,606
silver volume_lag5,598
gold volume_lag5,596
palladium high-low_lag5,576
silver volume_roll_mean3,574
sp500 volume,573
platinum high-low_lag5,568
silver volume_lag2,567
oil high-low_lag2,561
gold volume_lag2,547
platinum volume_roll_mean3,535
platinum high-low_lag2,533
oil high-low_lag1,531
nasdaq volume_lag2,531
silver volume_roll_mean7,527
sp500 high-low_lag5,523
palladium volume_lag5,523
silver high-low_lag5,522
silver close,522
palladium high-low_lag1,520
nasdaq high-low_lag5,519
palladium volume_lag2,498
nasdaq high-low,494
oil high-low_lag5,488
palladium high-low_lag2,479
platinum high-low_roll_mean7,469
nasdaq volume,461
gold open,459
palladium volume_lag1,454
platinum volume_roll_mean14,446
sp500 high-low_lag1,444
sp500 volume_lag2,442
sp500 high-low_lag2,437
silver volume_roll_mean14,435
sp500 volume_lag1,428
nasdaq volume_lag1,425
sp500 volume_lag5,398
nasdaq volume_lag5,397
platinum volume_roll_mean7,395
gold volume_roll_mean14,393
nasdaq high-low_lag2,383
gold volume_roll_mean7,381
sp500 high-low_roll_mean3,359
palladium high-low_roll_mean3,357
oil volume,352
oil volume_lag2,351
nasdaq high-low_lag1,350
platinum high-low_roll_mean14,348
oil volume_lag5,341
silver high-low_roll_mean7,333
oil high-low_roll_mean3,330
nasdaq high-low_roll_mean3,320
oil volume_lag1,307
palladium volume_roll_mean3,304
palladium high-low_roll_mean7,269
silver open,267
sp500 high-low_roll_mean7,256
sp500 high-low_roll_mean14,253
oil high-low_roll_mean7,249
sp500 volume_roll_mean14,245
sp500 volume_roll_mean7,241
nasdaq volume_roll_mean3,240
palladium volume_roll_mean7,240
nasdaq volume_roll_mean14,228
gold low_lag1,227
gold open_lag5,223
gold high_lag2,221
palladium high-low_roll_mean14,220
oil volume_roll_mean3,218
nasdaq high-low_roll_mean14,206
nasdaq high-low_roll_mean7,205
usd_chf_lag5,204
platinum close,204
nasdaq volume_roll_mean7,203
oil high-low_roll_mean14,201
silver high-low_roll_mean14,190
gold open_lag2,188
gold open_lag1,184
gold low_lag5,184
palladium volume_roll_mean14,182
gold high_lag5,154
usd_chf,154
gold low_roll_mean3,151
silver low,148
silver close_lag1,145
oil volume_roll_mean14,145
oil volume_roll_mean7,143
gold high_roll_mean3,137
gold low_roll_mean14,132
eur_usd_lag5,132
silver open_lag5,118
gold high_roll_mean7,117
usd_chf_lag1,111
oil open,108
gold high_lag1,107
usd_chf_lag2,106
usd_chf_roll_mean14,106
silver low_lag5,102
gold open_roll_mean14,101
oil close_lag5,100
silver open_lag2,97
silver low_lag1,94
oil open_lag5,93
platinum open,92
gold low_lag2,92
silver close_lag5,91
silver low_lag2,91
usd_chf_roll_mean7,85
silver high,85
eur_usd_lag2,84
eur_usd,84
gold open_roll_mean7,82
gold open_roll_mean3,81
usd_chf_roll_mean3,80
eur_usd_roll_mean3,80
silver high_roll_mean7,79
eur_usd_lag1,76
oil close,75
