iter	RMSE
0	17.55107484
1	16.50529806
2	15.54887804
3	14.63412121
4	13.82934138
5	13.00565117
6	12.22437074
7	11.50549115
8	10.82664446
9	10.17599483
10	9.588027481
11	9.056300757
12	8.540577204
13	8.055864642
14	7.59657455
15	7.177559755
16	6.776018421
17	6.402809811
18	6.042176296
19	5.694380557
20	5.392233774
21	5.079213278
22	4.811748809
23	4.561571277
24	4.310151989
25	4.078044045
26	3.862206515
27	3.658766493
28	3.472940224
29	3.300288836
30	3.138135259
31	2.98090545
32	2.836808529
33	2.699066277
34	2.577755468
35	2.462812663
36	2.34727603
37	2.243686547
38	2.149289371
39	2.062259346
40	1.981398771
41	1.90124682
42	1.824751086
43	1.755880626
44	1.695812888
45	1.636056958
46	1.586038044
47	1.536042333
48	1.491005364
49	1.44738487
50	1.406178383
51	1.368168343
52	1.332507531
53	1.298237251
54	1.269737058
55	1.242728224
56	1.217089222
57	1.196794325
58	1.176203319
59	1.159063148
60	1.139564579
61	1.120229914
62	1.103874169
63	1.085591156
64	1.06982201
65	1.055197133
66	1.04270291
67	1.02987024
68	1.017769137
69	1.007057688
70	0.9962586688
71	0.9884329002
72	0.9799215104
73	0.9707932599
74	0.9616084593
75	0.952462908
76	0.9451459474
77	0.9385290512
78	0.9325180885
79	0.9263942835
80	0.9199125221
81	0.914245101
82	0.9094601108
83	0.9046571169
84	0.8990525494
85	0.894755905
86	0.8900242693
87	0.8865856038
88	0.8815477285
89	0.8759715981
90	0.8702095685
91	0.866529304
92	0.8627525821
93	0.8566101865
94	0.8520224116
95	0.8473635532
96	0.8442330081
97	0.8399403482
98	0.8376107703
99	0.8334060538
100	0.8300355423
101	0.8272977692
102	0.823907599
103	0.8205021906
104	0.817184101
105	0.8133064408
106	0.8107207891
107	0.8076498484
108	0.8040292395
109	0.8014865232
110	0.7981287968
111	0.7943627091
112	0.7909293027
113	0.7884756257
114	0.7866132832
115	0.7849645702
116	0.7831090003
117	0.7809984244
118	0.7784538837
119	0.7754662379
120	0.7733401018
121	0.7687122419
122	0.7657560289
123	0.7633549661
124	0.7611006533
125	0.7587069223
126	0.7564879801
127	0.7550797517
128	0.7528851618
129	0.7498904497
130	0.7476688713
131	0.7452869881
132	0.7424329706
133	0.7406223366
134	0.7385008334
135	0.7359140696
136	0.7334787206
137	0.7301891145
138	0.7273760212
139	0.7252394419
140	0.7239087626
141	0.721627811
142	0.7178058638
143	0.7157015778
144	0.7121563695
145	0.7098159694
146	0.7076413654
147	0.7059981329
148	0.70423119
149	0.7029722193
150	0.7020822183
151	0.7007474384
152	0.6997779302
153	0.6967153456
154	0.6948939127
155	0.6929094355
156	0.6909134077
157	0.6886324225
158	0.6880754519
159	0.6861638648
160	0.6834061062
161	0.6807331246
162	0.6779594621
163	0.6740758313
164	0.6718314552
165	0.6696548754
166	0.6676829096
167	0.665900576
168	0.6642014662
169	0.6629029218
170	0.6603796147
171	0.6581197824
172	0.6560764495
173	0.6544755584
174	0.6534105939
175	0.651618145
176	0.6490237995
177	0.6479569032
178	0.6465158971
179	0.6449237384
180	0.6431539601
181	0.6419887931
182	0.640434467
183	0.6389395862
184	0.637402505
185	0.6357293631
186	0.6347058268
187	0.6321336212
188	0.6300424475
189	0.6280585685
190	0.6273253973
191	0.6258975591
192	0.6248010305
193	0.6219830041
194	0.6211024941
195	0.6189728791
196	0.6159817148
197	0.6147390446
198	0.6135072955
199	0.6120978161
200	0.6103795276
201	0.6088215426
202	0.6073954825
203	0.6067766472
204	0.6048163701
205	0.6034597904
206	0.6022313942
207	0.60112425
208	0.5997302026
209	0.5980717149
210	0.5974474159
211	0.5962844466
212	0.5944294134
213	0.5933737359
214	0.5918978191
215	0.5902776662
216	0.5888824506
217	0.5880128639
218	0.5863012859
219	0.585123108
220	0.5835015835
221	0.5819322202
222	0.5803192219
223	0.579493524
224	0.5783044471
225	0.5771606861
226	0.5754025002
227	0.5734499829
228	0.57228641
229	0.5709685508
230	0.5699755089
231	0.5683625865
232	0.5666999049
233	0.5654995634
234	0.5647082098
235	0.5634727649
236	0.5624406428
237	0.561463841
238	0.5606599505
239	0.5595155557
240	0.5580414658
241	0.5564436697
242	0.5555900552
243	0.5542131309
244	0.5533168853
245	0.5515686175
246	0.5498499379
247	0.5490459268
248	0.5479295175
249	0.5472585102
250	0.5461158348
251	0.544865872
252	0.5437083749
253	0.5423708485
254	0.5416321023
255	0.5402012362
256	0.5394581499
257	0.5375898657
258	0.5366991934
259	0.535815551
260	0.5352098805
261	0.5340456714
262	0.5323771591
263	0.5312717016
264	0.5300807975
265	0.528610831
266	0.5269678152
267	0.5259289546
268	0.5251035182
269	0.5235853028
270	0.5230896843
271	0.5221089191
272	0.5208676741
273	0.5190602687
274	0.5181407477
275	0.5170765933
276	0.5165552139
277	0.5160588155
278	0.5144591741
279	0.5135221726
