iter	Passed	Remaining
0	3	740
1	5	664
2	8	635
3	11	656
4	13	642
5	16	626
6	18	617
7	21	609
8	23	601
9	26	610
10	29	608
11	31	601
12	34	595
13	36	590
14	39	587
15	42	590
16	45	588
17	47	584
18	50	580
19	52	575
20	55	574
21	58	574
22	61	575
23	64	572
24	66	568
25	69	566
26	72	563
27	74	561
28	77	557
29	79	553
30	82	549
31	85	549
32	87	545
33	90	543
34	93	541
35	95	538
36	98	535
37	101	531
38	103	528
39	106	526
40	109	523
41	111	520
42	114	519
43	117	516
44	120	515
45	123	514
46	125	511
47	128	509
48	131	506
49	133	503
50	136	500
51	139	499
52	142	498
53	145	495
54	147	492
55	150	489
56	153	487
57	156	486
58	159	484
59	162	481
60	164	478
61	167	476
62	170	474
63	173	472
64	176	469
65	179	466
66	181	464
67	184	461
68	187	460
69	191	458
70	193	456
71	196	453
72	199	451
73	202	449
74	205	447
75	208	444
76	211	441
77	214	439
78	216	436
79	220	434
80	222	432
81	225	429
82	228	427
83	231	424
84	234	422
85	237	419
86	240	417
87	242	413
88	245	411
89	248	408
90	251	406
91	254	403
92	257	400
93	259	398
94	262	395
95	265	392
96	268	390
97	270	387
98	273	384
99	276	381
100	278	378
101	281	375
102	284	373
103	287	370
104	290	367
105	292	364
106	295	361
107	298	359
108	301	356
109	304	353
110	306	351
111	309	348
112	312	345
113	315	342
114	318	340
115	320	337
116	323	334
117	326	331
118	329	329
119	332	326
120	335	324
121	337	321
122	340	318
123	343	316
124	346	313
125	350	311
126	353	308
127	356	306
128	358	303
129	362	300
130	365	298
131	368	295
132	371	293
133	374	290
134	377	288
135	381	285
136	384	283
137	387	280
138	390	278
139	394	276
140	398	273
141	401	271
142	404	269
143	408	266
144	412	264
145	415	261
146	418	258
147	420	256
148	423	253
149	427	250
150	429	247
151	432	244
152	434	241
153	437	238
154	440	236
155	443	233
156	446	230
157	449	227
158	451	224
159	454	221
160	457	218
161	460	215
162	463	213
163	466	210
164	469	207
165	472	205
166	475	202
167	478	199
168	481	196
169	484	193
170	486	190
171	490	188
172	493	185
173	496	182
174	499	179
175	502	177
176	505	174
177	508	171
178	511	168
179	514	165
180	516	162
181	519	159
182	522	157
183	525	154
184	528	151
185	530	148
186	533	145
187	536	142
188	539	139
189	542	136
190	544	134
191	547	131
192	550	128
193	553	125
194	556	122
195	559	119
196	562	116
197	564	114
198	567	111
199	570	108
200	573	105
201	576	102
202	579	99
203	582	97
204	585	94
205	588	91
206	590	88
207	593	85
208	596	82
209	600	80
210	603	77
211	606	74
212	608	71
213	611	68
214	614	65
215	617	62
216	620	60
217	623	57
218	626	54
219	629	51
220	632	48
221	635	45
222	638	42
223	641	40
224	644	37
225	647	34
226	650	31
227	653	28
228	655	25
229	659	22
230	661	20
231	664	17
232	667	14
233	670	11
234	673	8
235	676	5
236	679	2
237	682	0
